atomicNum,symbol,name,category,period,group,atomicMass,state,fpos
1,H,Hydrogen,reactive-nonmetal,1,1,1.008,gas,0
2,He,Helium,noble-gas,1,18,4.003,gas,0
3,Li,Lithium,alkali-metal,2,1,6.941,solid,0
4,Be,Beryllium,alkaline-earth,2,2,9.012,solid,0
5,B,Boron,metalloid,2,13,10.811,solid,0
6,C,Carbon,reactive-nonmetal,2,14,12.011,solid,0
7,N,Nitrogen,reactive-nonmetal,2,15,14.007,gas,0
8,O,Oxygen,reactive-nonmetal,2,16,15.999,gas,0
9,F,Fluorine,reactive-nonmetal,2,17,18.998,gas,0
10,Ne,Neon,noble-gas,2,18,20.180,gas,0
11,Na,Sodium,alkali-metal,3,1,22.990,solid,0
12,Mg,Magnesium,alkaline-earth,3,2,24.305,solid,0
13,Al,Aluminum,post-transition,3,13,26.982,solid,0
14,Si,Silicon,metalloid,3,14,28.086,solid,0
15,P,Phosphorus,reactive-nonmetal,3,15,30.974,solid,0
16,S,Sulfur,reactive-nonmetal,3,16,32.065,solid,0
17,Cl,Chlorine,reactive-nonmetal,3,17,35.453,gas,0
18,Ar,Argon,noble-gas,3,18,39.948,gas,0
19,K,Potassium,alkali-metal,4,1,39.098,solid,0
20,Ca,Calcium,alkaline-earth,4,2,40.078,solid,0
21,Sc,Scandium,transition-metal,4,3,44.956,solid,0
22,Ti,Titanium,transition-metal,4,4,47.867,solid,0
23,V,Vanadium,transition-metal,4,5,50.942,solid,0
24,Cr,Chromium,transition-metal,4,6,51.996,solid,0
25,Mn,Manganese,transition-metal,4,7,54.938,solid,0
26,Fe,Iron,transition-metal,4,8,55.845,solid,0
27,Co,Cobalt,transition-metal,4,9,58.933,solid,0
28,Ni,Nickel,transition-metal,4,10,58.693,solid,0
29,Cu,Copper,transition-metal,4,11,63.546,solid,0
30,Zn,Zinc,transition-metal,4,12,65.380,solid,0
31,Ga,Gallium,post-transition,4,13,69.723,solid,0
32,Ge,Germanium,metalloid,4,14,72.630,solid,0
33,As,Arsenic,metalloid,4,15,74.922,solid,0
34,Se,Selenium,reactive-nonmetal,4,16,78.971,solid,0
35,Br,Bromine,reactive-nonmetal,4,17,79.904,liquid,0
36,Kr,Krypton,noble-gas,4,18,83.798,gas,0
37,Rb,Rubidium,alkali-metal,5,1,85.468,solid,0
38,Sr,Strontium,alkaline-earth,5,2,87.620,solid,0
39,Y,Yttrium,transition-metal,5,3,88.906,solid,0
40,Zr,Zirconium,transition-metal,5,4,91.224,solid,0
41,Nb,Niobium,transition-metal,5,5,92.906,solid,0
42,Mo,Molybdenum,transition-metal,5,6,95.960,solid,0
43,Tc,Technetium,transition-metal,5,7,98.000,solid,0
44,Ru,Ruthenium,transition-metal,5,8,101.070,solid,0
45,Rh,Rhodium,transition-metal,5,9,102.906,solid,0
46,Pd,Palladium,transition-metal,5,10,106.420,solid,0
47,Ag,Silver,transition-metal,5,11,107.868,solid,0
48,Cd,Cadmium,transition-metal,5,12,112.411,solid,0
49,In,Indium,post-transition,5,13,114.818,solid,0
50,Sn,Tin,post-transition,5,14,118.710,solid,0
51,Sb,Antimony,metalloid,5,15,121.760,solid,0
52,Te,Tellurium,metalloid,5,16,127.600,solid,0
